status,name,type,city,state,region,email,phone,website,notes,,,,
,Matty Sheets,band/Artist,Greensboro,NC,Southeast,FB friend,,,,,,,
,Matty Sheets - WUAG,Local media,Greensboro,NC,Southeast,FB friend,,,,,,,
,New York Pizza,Venue,Greensboro,NC,Southeast,"nyp.337tate@gmail.comegramisci@yahoo.com","For bookings call us at 336.272.8953, ask for Rosie",http://www.nyp-gboro.com/,"Booked fall 2016 date thru Joe Rinaldi - divey rock bar, lively scene. You can also submit booking inquiries via Facebook",,,,
,OPOTW Studios,Venue/studio,Greensboro,NC,Southeast,"@onpopoftheworld (messenger)Randy Seals",,https://www.facebook.com/pg/onpopoftheworld/about/?ref=page_internal,Gary Heidt recommends,,,,
,Shiner's,Venue,Greensboro,NC,Southeast,Andrew Massengale,336 986 0798,http://gsoshiners.com/,"Gary Heidt recommendsMonday Karaoke, Wednesday, dance party night",,,,
Is interested in 4/25; reached out via FB Messenger; sent an email 2/22 ,The Code Gallery,Venue/Gallery,Greensboro,NC,Southeast,"Micah JamesThecodegallery1202@gmail.com",336-213-8607,https://www.facebook.com/codegallery/,Gary Heidt recommended. Texting is best. ,,,,
,The Green Bean,Venue,Greensboro,NC,Southeast,"greenbeanbooking@yahoo.com",336-691-9990,https://www.facebook.com/pages/The-Green-Bean/72513132476,coffeehouse/music venue can host a show Thursday-Saturday nights.,,,,
,look for venues,venue,Greenville,NC,Southeast,,,,,,,,
,Haw River Ballroom,venue,Saxapahaw,NC,Southeast,"For music inquiries, general programming questions/ideas, media and press contact heather@hawriverballroom.com",(336) 525-2314,http://www.hawriverballroom.com,,,,,
,Saturdays in Saxapahaw,presenter,Saxapahaw,NC,Southeast,,,http://www.saxapahawnc.com/saturdays/,EVERY saturday from MAY tHROUGH THE END OF AUGUST,,,,
,Cats Cradle,venue,Triangle - Carrboro,NC,southeast,,,http://catscradle.com/,,,,,
,Open Eye Cafe,Venue,Triangle - Carrboro,NC,Southeast,coffeescott@gmail.com,,http://openeyecafe.com/ Booker: Scott via IOTM: https://www.indieonthemove.com/venues/view/open-eye-cafe-carrboro-north-carolina,"They host live music on Friday and Saturday nights for the most part. This venue is affiliated with Caffe Driade in Chapel Hill, NC.""A really cool place to play. It has a built in college age crowd, mostly there with there laptops doing schoolwork, but a lot of people are just coming in to check out the music for the night. Nice, laid back atmosphere, and the people that work there are very accommodating. There isn't a house PA or anything to use for sound there, but if you're not playing any very quiet stuff, you really don't need it. Sound carries through the place like greased lightning. I absolutely love playing here.""",,,,
,The Station,Venue,Triangle - Carrboro,NC,Southeast,Sterling - southernrailbooking@gmail.com,,https://www.indieonthemove.com/venues/view/the-station-carrboro-north-carolina http://thestationcarrboro.com,CLOSED,,,,
,Caffe Driade,Venue,Triangle - Chapel Hill,NC,Southeast,coffeescott@gmail.com,,www.caffedriade.com,"Played here in Oct 2015This is a seasonal venue. Live music is held on Friday and Saturday nights starting at 8 PM, May - October on their outdoor stage.outdoor venue, hat pass, free drinks/snacks (no real food, very DIY). ",,,,
,Drowning Lovers,Band/Artist,Triangle - Chapel Hill,NC,Southeast,"drowninglovers@gmail.com, merrybellepark@gmail.com",919-824-9581 (meredith),,Shared bill at Slim's April 2016,,,,
,Forty Acres House Concerts,Presenter/Booker,Triangle - Chapel Hill,NC,Southeast,"info@fortyacres.orgbooking@fortyacres.org",,http://www.fortyacres.org/,,,,,
,Local 506,Venue,Triangle - Chapel Hill,NC,Southeast,"booking@local506.com ",,,would need local support. offered us a date we couldn't do in fall 2016,,,,
,The Cave,Venue,Triangle - Chapel Hill,NC,Southeast,CaveNCBooking@gmail.com,919-968-9308,http://www.caverntavern.com/,"Affiliated with Slim's - MarkCourtney does lion's share of Cave booking calling is OK",,,,
,The Nightlight,Venue,Triangle - Chapel Hill,NC,Southeast,nightlightbooking@gmail.com - Charlie,(919) 960-6101,http://www.nightlightclub.com/,"responsive but date NGlooks weird but cool",,,,
,Arcana,Venue,Triangle - Durham,NC,Southeast,,,,"Sweet people, basement bar venue with minimally gothy decor and hidden entrance - did free gig with tips in fall 2016",,,,
,Curtis Eller,Band/Artist,Triangle - Durham,NC,Southeast,americancircus@earthlink.net,,,Shared bill at Slim's April 2016 and Arcana Oct 2016. We love Curtis.,,,,
,Duke Coffee House,Venue,Triangle - Durham,NC,Southeast,dukecoffeehouse@gmail.com,,"http://dukecoffeehouse.org/post/60809738414",,,,,
,Shadowbox Studio,venue,Triangle - Durham,NC,southeast,"Jim Haverkamp - jim@jimhaverkamp.comAlex Maness - tothemoon.alex@gmail.com",,https://www.facebook.com/shadowboxdurham/,"Played there in October 2017 - did well with a $10 suggested donation show, felt like a house concert, no walk-in crowd, used our own PA",,,,
,The Pinhook,Venue,Triangle - Durham,NC,Southeast,"booking@thepinhook.com",,http://www.thepinhook.com/booking,,,,,
,Mystery Brewing Public House,"venue",Triangle - Hillsborough,NC,Southeast,,,,Curtis will be doing some kind of residency here - guarantee ,,,,
,Little Lake Hill house concert series,Presenter/Booker,Triangle - Raleigh,NC,Southeast,,,http://bettpadgett.com/,,,,,
,Ruckus Pizza & Bar,Venue,Triangle - Raleigh,NC,Southeast,,,www.ruckuspizza.com,"Mike (via IOTM): https://www.indieonthemove.com/venues/view/ruckus-pizza-and-bar-raleigh-north-carolina",,,,
,Slim's Downtown,Venue,Triangle - Raleigh,NC,Southeast,slimsbooking@gmail.com,,,"divey but decent bar, $5 cover, bands split 85% of door ",,,,
,The Berkeley Cafe,Venue,Triangle - Raleigh,NC,Southeast,Greg - berkeleyraleigh@gmail.com,(919) 828-9190,http://www.facebook.com/pages/Berkeley-Cafe/35414122239,"Shows typically take place on Thursday-Saturday nights with open mic on Wednesday nights.""The Berkeley Cafe is pretty cool...decent sized stage in a smaller room.  We had about 30-50 people in and it looked jammed packed.  The sound is about a 6 out of ten, not bad.  Staff is super nice...free sodas, half price beer, and they pay pretty fairly.  Its located in downtown Raleigh so theres a pretty cool scene if youre looking for something to do.""",,,,
,The Pour House Music Hall,venue,Triangle - Raleigh,NC,Southeast,,,,,,,,
playing w/ her 4/26!,Virginia Scarre,Presenter/Booker,Triangle - Raleigh,NC,Southeast,drsketchyraleigh@gmail.com,,,does burlesque stuff and often has music (e.g. Curtis),,,,
,Dirty White Rags,Band/Artist,Wilmington,NC,Southeast,caltrippe@gmail.com,(910) 795-6219,,"band nice but not amazing, played with them at Juggling Gypsy in spring 2015 - lead singer Callan also works at Fermental ",,,,
,Fermental,Venue,Wilmington,NC,Southeast,steve@fermental.net,(910) 821-0362,http://www.fermental.net/,"played here in Nov 2016 - $150 guarantee, outdoor stage in beer garden. via callan from Dirty White Rags (Owner is Steven Gibbs) live music thurs/fri/sat ",,,,
,Juggling Gypsy Cafe,Venue,Wilmington,NC,Southeast,"www.jugglinggypsy.combooking@jugglinggypsy.combash@jugglinggypsy.comBash",,,"played here 10/13/15. OK but not awesome, sorta Blue Monday-ish and everyone there seemed to have worked there at some point. Grilled cheese, DIY sound",,,,
,Oakdale cemetery,venue,Wilmington,NC,Southeast,,,,,,,,
hosting house concert 4/28,Vic and Nancy Vance,House Concert Host,Wilmington,NC,Southeast,,,,,,,,
no live music on Wednesdays,6th & Vine,Venue,Winston-Salem,NC,Southeast,"Liz - vineandmusic@yahoo.com",,http://www.6thandvine.com/,"only Fri/Sat dates""I absolutely love everything about the Charming Disaster! Unfortunately we do not do live music on Wednesdays. Please try the Garage, I would love to come and see you perform."" ",,,,
"""We only have shows Thurs, Fri, and Sat nights here""",Krankies Coffee,Venue,Winston-Salem,NC,Southeast,"krankiesbooking@gmail.com",,www.krankiescoffee.com,"""We only have shows Thurs, Fri, and Sat nights here""",,,,
emailed 1/31 re 4/24 or 25,Muddy Creek Cafe,Venue,Winston-Salem,NC,Southeast,bookingatmuddycreek@gmail.com,(336) 923-8623,"https://www.facebook.com/MuddyCreekCafe/info/?tab=overviewhttp://www.muddycreekcafeandmusichall.com/","This place looks great but is booked on 4/13 (and beyond). For future reference, we'd need to book this pretty far out. second location in Sparta, NC opening in spring 2018",,,,
,Old Winston Social Club,Venue,Winston-Salem,NC,Southeast,"bookings@oldwinstonsocialclub.com, info@oldwinstonsocialclub.com",,"http://www.oldwinstonsocialclub.com/",,,,,
,Test Pattern,Venue,Winston-Salem,NC,Southeast,booking@testpatternbars.com,(336) 955-1888,https://www.facebook.com/testpatternbar/,,,,,
,The Garage,Venue,Winston-Salem,NC,Southeast,booking@the-garage.ws,,http://www.the-garage.ws/,,,,,
,The Royal American,Venue,Charleston,SC,Southeast,booking@theroyalamerican.com,,http://theroyalamerican.com/contact/,,,,,
,Tin Roof (Charleston),Venue,Charleston,SC,Southeast,tinroofwashley@gmail.com,,http://www.charlestontinroof.com/,,,,,
,Art Bar,Venue,Columbia,SC,Southeast,emailed thru web form 1/23 re 4/12,,"http://artbarsc.com/music/booking/",Stefan Heger's friend Greg books,,,,
,Music Farm,Venue,Columbia,SC,Southeast,,,"www.musicfarm.com/venues/music-farm-columbia/upcoming-shows/","Stefan Heger's friend Greg booksbigger venue with bigger acts, but maybe we could get an opener gig?",,,,
,New Brookland Tavern,Venue,Columbia,SC,Southeast,,,http://www.newbrooklandtavern.com/contact,,,,,
,The Purple Buffalo,venue,North Charleston,SC,Southeast,,,,,,,,
emailed 2/12 re 4/23-24-25,Sugarland Distillery,venue,Gatlinburg,TN,southeast,booking@sugarlandsdistilling.com,1 - 865 - 325-1355 ,http://www.sugarlandsdistilling.com/,Curtis says this is a good gig,,,,
,Peabody Hotel (rooftop),venue,Memphis,TN,southeast,,,http://www.peabodymemphis.com/rooftop-en.html,Recommended by David White on FB,,,,
,Bluebird Cafe,Venue,Nashville,TN,southeast,,,http://bluebirdcafe.com/howtoplay,Monday night open mic is best for newcomers; same day signup only (by phone works tho),,,,
,Family Wash,Venue,Nashville,TN,southeast,,"http://www.familywash.com/ http://www.familywash.com/booking",,"""temporarily closed for upgrades"" - feb 2018",,,,
,Five Spot,Venue,Nashville,TN,southeast,,,http://www.the5spotlive.com/,"""If you want to play here, you need to contact local bands.Have them set up the show, or have them all ready to join you before you contact us.""",,,,
new faces nite is for locals,The Basement,Venue,Nashville,TN,southeast,,,thebasementnashville.com,New Faces Nite on Tuesdays is really for locals,,,,
Looks like it's only Fri/Sat/Sun,Skull's Rainbow Room,venue,Nashville ,TN,southeast,info@skullsrainbowroom.com,,http://skullsrainbowroom.com/,Jen Larson says this might be a good fit for us. Looks like it's only Fri/Sat/Sun though.,,,,
,Baine's Books & Coffee,venue,Appottomax,VA,Southeast,bryan@bainesbooks.com,(434) 352-3711,http://bainesbooks.com/,,,,,
emailed 1/31 re 4/24 or 25,622 North,Venue,Blacksburg,VA,Southeast,music@622north.com,(540) 951-1022,http://www.622north.com/,Sam,,,,
emailed 1/31 re 4/24 or 25,Gillie's,Venue,Blacksburg,VA,Southeast,Booker Email: gilliesmusic@gmail.com,Booker Phone: 540.961.2703,http://www.gilliesrestaurant.net/,Booking Agent(s): Stephen,,,,
dates NG,Sycamore Deli,Venue,Blacksburg,VA,Southeast,Michelle - sycamorebooking@gmail.com,,,"""Please feel free to reach out if you'll be in the area again.""We will do our best to get back to you. If its been a few weeks, send us another email. If you do not get a response within two weeks of sending your second email, we are probably not interested in hosting your event. If your band cant bring in 80 people, we cant offer you a headlining spot. We work hard to put together acts that will compliment each other and pack the house. ",,,,
,XYZ Gallery,Venue,Blacksburg,VA,Southeast,xyzartgallery@gmail.com,,https://www.indieonthemove.com/venues/view/xyz-art-gallery-blacksburg-virginia https://www.facebook.com/xyzartgallery,"""XYZ Gallery is a student-run venue dedicated to showcasing art, architecture, and design in the Blacksburg and Virginia Tech community for over 20 years."" Live music can be held any night of the week, though most shows fall on Fridays and Saturdays.",,,,
,Blue Moon Diner / Laura,Venue,Charlottesville,VA,Southeast,info@bluemoondiner.net,w: 434.980.6666 (MOON) c: 540.520.2482,,"not the greatest gig, diner layout not ideal, but they are super sweet. $40 guarantee plus tips and dinner",,,,
,"Christian Breeden - American Dumpster& Jessica Eberlin",Band/Artist,Charlottesville,VA,Southeast,FB,,,housed us in Cville in April 2016 - Biscuit Run (house concert? or shared bill?),,,,
,Cville Coffee  ,Venue,Charlottesville,VA,Southeast,events@cvillecoffee.com,,http://www.cvillecoffee.com/,Fridays and Saturdays,,,,
,Fellini's,Venue,Charlottesville,VA,Southeast,music@felliniscville.com,,http://www.felliniscville.com,,,,,
,Twisted Branch Tea Salon,Venue,Charlottesville,VA,Southeast,valence.shows@gmail.com - Joseph Zhenner,,,cute restaurant where we sat on the floor in the window nook. spoke to gwendolyn on the phone,,,,
,Whiskey Jar,Venue,Charlottesville,VA,Southeast,whiskeyjarmusic@gmail.com ,,http://thewhiskeyjarcville.com/,"a bar, but they pay fairly well  (per Annie)spoke with chase, who said fri & sat is when they bring in new bands (other nights are dinner bands which are set), but wed might work too since that band just left (""tired of playing to people's backs"")",,,,
,WNRN,Local Media,Charlottesville,VA,Southeast,,,http://www.wnrn.org/,,,,,
,World of Beer,Venue,Charlottesville,VA,Southeast,,,https://www.facebook.com/wobcharlottesville/,,,,,
,WTJU / Peter Jones,Local media,Charlottesville,VA,Southeast,folkdirector@gmail.com,,,we played on the air here in April 2016 and Oct 2016. they do a concert series too on Fridays.,,,,
,Glass House Winery,Venue,Free Union (Charlottesville area),VA,Southeast,jeff@glasshousewinery.com - Jeff,Tasting Room  434.975.0094,http://www.glasshousewinery.com/,"responded but date was NG ""We are only open Thurs-Sun, and only do music on Fridays and Sundays.""  ",,,,
,Rapunzel's Coffee,Venue,Lovingston,VA,Southeast, booking@rapunzelscoffee.com,,,,,,,
,Rivermont Pizza Company,Venue,Lynchburg (near Charlottesville),VA,Southeast,nedsbeer@gmail.com - Caleb,(434) 846-6337 - Caleb / 434-846-2877,https://www.facebook.com/rivermontpizza/,"offered us 10/25, then canceled. Total runaround, not clear what actually went down on their end.",,,,
emailed 1/31 re 4/24 or 4/25,Speakertree Records,Venue,Lynchburg (near Charlottesville),VA,Southeast,booking.speakertree@gmail.com,(434) 485-8262,"https://www.indieonthemove.com/venues/view/speakertree-records-lynchburg-virginiahttps://www.facebook.com/speakertreerecords/",this place looks cool but it's close to charlottesville and vinyl-oriented,,,,
,Ahmad Davis,Local media,Norfolk,VA,Southeast,adavil44@odu.edu,,,"college radio, said to hit him up for an in-studio thing  ",,,,
,Borjo Coffeehouse,venue,Norfolk,VA,Southeast,Josh - music@borjocoffee.com,800-339-8055,www.borjocoffee.com,responded but date didn't work,,,,
,Cure Coffeehouse & Brasserie,venue,Norfolk,VA,Southeast,Joe - joetbrocks@gmail.com,,www.curenorfolk.com,They host live music on Friday and Saturday nights,,,,
,Electroganic,Venue,Norfolk,VA,Southeast,,,http://electroganic.org/phone/index.html,,,,,
,Work | Release / Charlie & Careyann,Venue,Norfolk,VA,Southeast,"charles@workreleasenorfolk.com, booking@workreleasenorfolk.com, careyann@workreleasenorfolk.com",,,"booked us for the 2nd time in Nov 2016 - $200 guaranteeno longer doing music, now just a restaurant",,,,
,North Shore Point House Concerts,Presenter/Booker,Norfolk ,VA,Southeast,jim@northshorepoint.com,,http://www.northshorepoint.com/page7.php,,,,,
sent 1/18 re 4/21 (but they're closed now),Balliceaux,Venue,Richmond,VA,Southeast,"Music: Chris Bopstchrisbopst@gmail.com",(804)355-3008 ,http://www.balliceauxrva.com/,Closed till late winter early fall,,,,
,City Dogs,Venue,Richmond,VA,Southeast,,(804) 359-3647,https://www.facebook.com/pages/City-Dogs/153572520666,it's a hot dog joint,,,,
sent 1/18 re 4/21; emailed 2/7 re 4/19,Gallery 5,venue,Richmond,VA,Southeast,rivanna@gallery5arts.org,,http://gallery5arts.org/newsitedesign/,responsive but dates ng,,,,
,Madame OnÌ_a,artist/band,Richmond,VA,Southeast,lamadameonca@gmail.com,828 232 2980,"http://www.hardestworkingwomaninshowbusiness.com/https://www.facebook.com/onca.oleary?pnref=friends.search",recommended by Brian King (What Time Is It Mr. Fox),,,,
,Poe Museum,Venue,Richmond,VA,Southeast,"info@poemuseum.orgChris Semtner Curator - chris@poemuseum.orgDebbie (events mgr) - debbie@poemuseum.org",(804) 648-5523,http://poemuseum.org,invited to play Jan 21 - $150 (poe's bday bash),,,,
,Poe's Pub,Venue,Richmond,VA,Southeast,"Mike - poespub@aol.com (""but he never checks it"")",(804) 648-2120,https://www.facebook.com/poespub1,looks like a stupid bar,,,,
,Shockoe Hill Cemetery,Venue,Richmond,VA,Southeast,info@shockoehillcemetery.org,(804) 426-1355,"http://www.shockoehillcemetery.org/getInvolved.htmhttps://www.facebook.com/ShockoeHillCemetery",,,,,
sent 1/18 re 4/21; emailed 2/7 re 4/19,The Camel,venue,Richmond,VA,Southeast,Lucas - booking@thecamel.org,,http://www.thecamel.org/,,,,,
,Weezie's,Venue,Richmond,VA,Southeast,"Todd (owner) - weezieskitchenrva@gmail.com",,http://weezieskitchen.com/,(live music Sunday nights - Thurs is open mic) via Strangled Darlings,,,,
,WRIR - LPFM,Local Media,Richmond,VA,Southeast,,,http://wrir.org/,low power FM station,,,,
sent 1/18 re 4/21; emailed 2/7 re 4/19,The Mainline at Ashland Coffee & Tea ,Venue,"Richmond (Ashland, 15 mi north)",VA,Southeast,Beth Tubb - bethtubbmainline@gmail.com,"(804) 299-3605 (office)804-874-2780 (cell)",http://ashlandcoffeeandtea.com/,responsive but dates ng,,,,
,Fork in the Market,Venue,Roanoke,VA,Southeast,,540-400-0644 (market),"https://www.facebook.com/ForkintheMarket https://www.indieonthemove.com/venues/view/fork-in-the-market-roanoke-virginia","Never been responsive Live music can be held any night of the week, but most Sundays-Thursdays are reserved for regularly scheduled events.ask for AJ (general manager) who will probably ask for more info via FB page ",,,,
,Martin's Downtown Bar & Grill,Venue,Roanoke,VA,Southeast,jason@martinsdowntown.com Booking@MartinsDowntown.com,,http://www.martinsdowntown.com/ https://www.indieonthemove.com/venues/view/martins-downtown-bar-and-grill-roanoke-virginia,"responded but date ng""Mostly original acts with full bands. They host live music Tuesday-Saturday nights weekly. Events can be open to all ages depending on what is arranged.""no phone calls please250 capacity",,,,
Try again in future,Monkey House Concerts,Presenter/Booker,Roanoke,VA,Southeast,Jim - rhetoric73@yahoo.com,,http://monkeyhouseconcerts.net/contact_us,"""We‰Ûªre in the process of re-booting our events in a new town/city.  We moved from Blacksburg to Roanoke in January 2017 to be closer to my wife‰Ûªs parents, and, in June 2017, after honoring our already scheduled concerts by holding them in a public space owned by friends, we put everything on hiatus.  We‰Ûªre just now revisiting our process, co-hosting one in Roanoke, in May 2018.  Should the event in May go well, we may consider more events in our new hometown.""",,,,
dates NG ,The Bazaar,Venue,Roanoke,VA,Southeast,thebazaar.jamie@gmail.com Jamie,540-309-0928,http://www.bazaarofroanoke.com/#!contact/c16fm,"played here in fall 2017, it was fine but small $ and their venue has since closed (though maybe they are still presenting shows elsewhere) The Bazaar is a relatively small operation. We host one or two in-store performances per month in order to support merchandise that we carry. If you would like to play here, please be sure that you have something related to your music that we can sell on consignment.they schedule shows about 4 months out",,,,
dates NG ,The Spot on Kirk,Venue,Roanoke,VA,Southeast,,,http://www.thespotonkirk.org/,,,,,
,The Pompei Lounge,venue,Staunton,VA,Southeast,"Scott - nscottroberts@gmail.combooking@thepompeilounge.com ",,https://www.facebook.com/ThePompeiLounge/about/?entry_point=page_nav_about_item,I like the sound and concept but don't have the dates available. We only book live music on Fridays and Saturdays. Hit me up if you're coming through again.,,,,
,11th Street Taphouse ,,Virginia Beach,VA,Southeast,,,,,,,,
,Back Bay Brewing Co,,Virginia Beach,VA,Southeast,,,,"They showcase bands in ""The Blind"" upstairs, and have been known to put some last minute things together. ",,,,
,Bottlecraft  ,,Virginia Beach,VA,Southeast,,,,they have been looking to showcase some smaller musical acts. ,,,,
,Calypso ,,Virginia Beach,VA,Southeast,,,,,,,,
,Chichos on Pacific Ave.,,Virginia Beach,VA,Southeast,,,,,,,,
,Chix on Atlantic Ave ,,Virginia Beach,VA,Southeast,,,,,,,,
,Commonwealth Brewery ,,Virginia Beach,VA,Southeast,Geo - geo@commonwealthbrewco.com,757-305-9652,,"loved us in Nov 2016 ($100, last minute), booked us Jan 2017 ($250)",,,,
,Five 01 City Grill,,Virginia Beach,VA,Southeast,,,,,,,,
,Hell‰Ûªs Kitchen on the Bay,,Virginia Beach,VA,Southeast,,,,,,,,
,Murphy‰Ûªs,,Virginia Beach,VA,Southeast,,,,,,,,
,Shaka's,,Virginia Beach,VA,Southeast,,,,,,,,
,South Beach Grill,,Virginia Beach,VA,Southeast,,,,,,,,
,Tubby‰Ûªs Tavern,,Virginia Beach,VA,Southeast,,,,,,,,
,Old Bust Head Brewery,Venue,Warrenton (near Bmore),VA,Southeast,,,https://www.oldbusthead.com/,looks like live music is on Saturdays,,,,
,Aromas World,venue,Williamsburg,VA,Southeast,,,http://www.aromasworld.com,,,,,
,The Triangle,venue,Williamsburg,VA,Southeast,"Matthew Black - events@trianglewilliamsburg.commusic@trianglewilliamsburg.com",757-645-2890,http://www.trianglewilliamsburg.com/,"Loved our sound, try in future!",,,,
,San Luis Valley Brewing Co.,venue,Alamosa,CO,west,scott@slvbrewco.com,(719) 587-2337,"http://www.slvbrewco.comhttps://www.facebook.com/San-Luis-Valley-Brewing-Co-145366725561589/",bar & grill,,,,
,Society Hall,venue,Alamosa,CO,west,form on website: https://www.societyhall.org/contact (probably best to call),(719) 937-2636,"http://societyhall.orghttps://www.facebook.com/societyhall/","nonprofit venue in an old churchlooks cool, but no built in crowd unless people just go to stuff there$15-30 ticketed events",,,,
,"Juliette Bartsch, Boulder Public Library",Venue,Boulder,CO,west,bartschj@boulderlibrary.org,303-441-3100 main,https://boulderlibrary.org/concert-series/,"The Concerts Committee meets quarterly and will get back to you within six months. The Boulder Public Library is currently scheduling concerts one year in advance.Proposal guidelines: https://boulderlibrary.org/concert-series/proposal-information-library-concert-series/",,,,
,"Indra Raj, KGNU Music Director",local media,Boulder/Denver,CO,west,"indra@kgnu.orgmusic@kgnu.org","303-449-4885 main303-515-4527 direct","kgnu.orgafterfm.com","Music Director, super nice, offered to help promote future shows/set up interviews/etc when we were there in Aug 2017",,,,
,Deerhammer Distillery - Lenny Eckstein,venue,Buena Vista,CO,west,info@deerhammer.com,(719) 395-9464,http://www.deerhammer.com/,"Booked us Aug 2017 and put us up, $100 fee",,,,
,House Rock Kitchen,venue,Buena Vista,CO,west,,,https://www.facebook.com/houserockkitchen/,,,,,
,The Asian Palate,venue,Buena Vista,CO,west,theasianpalate@gmail.com,719.395.6679,"http://www.theasianpalate.com/https://www.facebook.com/theasianpalate/","restaurantEmile says: ""Ask for Eddie Sandoval""",,,,
,Ark Magazine - Jamie,media,Buena Vista/Salida/Etc.,CO,west,jwolkenbreit.arkmag@gmail.com,,https://www.facebook.com/thearkmagazine/,"sponsored our show at Howl in August 2017, ran sound, really nice, offered to help us with another gig next time",,,,
,Ancient Elk - Trey,band/artist,Denver,CO,west,ancientelk@gmail.com,,https://www.facebook.com/AncientElk/,server at Syntax,,,,
,Your Older Brother - Sam,media,Denver,CO,west,,,,,,,,
,Swallow Hill Music,venue/school,Denver,CO,west,roger@swallowhillmusic.org ,303.777.1908,http://swallowhillmusic.org,"""Swallow Hill Music builds community though a unique collaboration of music education and presentation, with a focus on roots and acoustic music."" Swallow Hill Music is a school and concert venue. Most shows take place Thursday-Saturday nights, but they are flexible. There are 2 different performance spaces here",,,,
,Emile Dubiya,,La Veta,CO,west,emdubia@icloud.com,970-618-6611,,"met at Vance house concert, April 2017. Opening venue in CO - La Veta Mercantile. ""Please call when you head west. I'll hook you up!"" talked about a tour circuit out there.",,,,
,Wanderlust Road - Terri Dunn,band/artist,Salida,CO,west,terri@wanderlustroad.com,,,,,,,
,Bensons Tavern & Beer Garden,venue,Salida,CO,west,bensonssalida@gmail.com,(719) 539-9391,"http://www.bensonssalida.com/https://www.facebook.com/Bensons-Tavern-Beer-Garden-71527323736/?fref=nf",,,,,
,Howl Mercantile & coffee - Kimi Uno,venue,Salida,CO,west,kimi@howlsalida.com,719.207.4600,"http://www.howlmercantile.com/https://www.facebook.com/pg/howlmercantile/",Hosted us Aug 2017 - put us up too,,,,
